1   , 18C               , 1       , 1      , $0.0059    , N/A        , N/A      , 55.09 k   

 2   , 1ST               , 1       , 1      , $0.1289    , $0.1304    , 1%       , 9.32 k    

 3   , 1WO               , 3       , 1      , $0.0251    , $0.0249    , -1%      , 73.57     

 4   , ABT               , 1       , 1      , $0.2291    , $0.2274    , -1%      , 170.10 k  

 5   , ADA               , 21      , 5      , $0.0513    , $0.0509    , -1%      , 22.97 m   

 6   , ADH               , 3       , 1      , $0.0038    , $0.0037    , -1%      , 1.63 k    

 7   , ADT               , 3       , 2      , $0.0039    , $0.0039    , 0%       , 26.19 k   

 8   , ADX               , 9       , 4      , $0.0970    , $0.0961    , -1%      , 773.69 k  

 9   , AE                , 5       , 2      , $0.2843    , $0.2828    , -1%      , 760.52 k  

 10  , AEON              , 1       , 1      , $0.7290    , N/A        , N/A      , 15.45 k   

 11  , AERGO             , 3       , 2      , $0.1015    , $0.1008    , -1%      , 192.50 k  

 12  , AGI               , 3       , 1      , $0.0338    , $0.0333    , -2%      , 1.17 m    

 13  , AID               , 2       , 2      , $0.0129    , $0.0127    , -2%      , 2.33 k    

 14  , AIDOC             , 2       , 1      , $0.0039    , $0.0044    , 11%      , 135.21 k  

 15  , AION              , 3       , 1      , $0.0850    , $0.0826    , -3%      , 566.75 k  

 16  , AKRO              , 1       , 1      , $0.0222    , $0.0219    , -2%      , 1.27 m    

 17  , ALGO              , 7       , 2      , $0.6877    , $0.6810    , -1%      , 7.29 m    

 18  , AMB               , 3       , 1      , $0.0274    , $0.0271    , -1%      , 168.58 k  

 19  , AMLT              , 3       , 1      , $0.0065    , $0.0086    , 25%      , 230.16    

 20  , AMP               , 2       , 2      , $0.0060    , $0.0059    , -1%      , 2.65 k    

 21  , ANKR              , 10      , 3      , $0.0066    , $0.0065    , -1%      , 17.11 m   

 22  , ANT               , 4       , 2      , $0.7872    , $0.7796    , -1%      , 8.89 k    

 23  , APPC              , 4       , 2      , $0.0386    , $0.0385    , 0%       , 303.18 k  

 24  , ARDR              , 8       , 5      , $0.0642    , $0.0638    , -1%      , 285.88 k  

 25  , ARK               , 5       , 3      , $0.2742    , $0.2715    , -1%      , 457.27 k  

 26  , ARN               , 2       , 1      , $0.2445    , $0.2423    , -1%      , 373.70 k  

 27  , ART               , 1       , 1      , $0.1093    , N/A        , N/A      , 827.21    

 28  , AST               , 3       , 2      , $0.0302    , $0.0300    , -1%      , 261.03 k  

 29  , ATOM              , 16      , 5      , $3.47      , $3.44      , -1%      , 5.51 m    

 30  , ATP               , 1       , 1      , $0.0120    , N/A        , N/A      , 2.80 k    

 31  , BAT               , 25      , 7      , $0.2186    , $0.2170    , -1%      , 9.02 m    

 32  , BAY               , 2       , 2      , $0.0039    , $0.0038    , -3%      , 155.94 k  

 33  , BCD               , 2       , 1      , $0.7651    , $0.7649    , 0%       , 111.72 k  

 34  , BCH               , 40      , 11     , $334.79    , $333.86    , 0%       , 38.98 m   

 35  , BCN               , 2       , 1      , $0.0006    , $0.0006    , -1%      , 27.82 k   

 36  , BCPT              , 8       , 3      , $0.0351    , $0.0346    , -1%      , 200.99 k  

 37  , BCV               , 1       , 1      , $0.0226    , $0.0224    , -1%      , 590.62 k  

 38  , BFT               , 3       , 3      , $0.0245    , $0.0243    , -1%      , 80.07 k   

 39  , BGBP              , 1       , 1      , $1.22      , $1.21      , 0%       , 7.15 k    

 40  , BIFI              , 1       , 1      , $0.0027    , N/A        , N/A      , 6.53 k    

 41  , BIX               , 2       , 1      , $0.3028    , $0.3003    , -1%      , 830.28 k  

 42  , BKBT              , 1       , 1      , $0.0010    , $0.0010    , -1%      , 31.26 k   

 43  , BKX               , 2       , 2      , $0.0060    , $0.0064    , 7%       , 29.33 k   

 44  , BLK               , 2       , 2      , $0.0592    , $0.0609    , 3%       , 15.06 k   

 45  , BLOCK             , 2       , 2      , $1.79      , $1.77      , -1%      , 243.74 k  

 46  , BLT               , 2       , 2      , $0.0598    , $0.0595    , 0%       , 24.87 k   

 47  , BLZ               , 3       , 1      , $0.0354    , $0.0352    , -1%      , 245.63 k  

 48  , BNB               , 106     , 1      , $31.66     , $31.32     , -1%      , 208.53 m  

 49  , BNT               , 9       , 4      , $0.4781    , $0.5594    , 15%      , 32.65 k   

 50  , BOX               , 1       , 1      , $0.0163    , $0.0703    , 77%      , 77.26 k   

 51  , BOXX              , 2       , 2      , $0.0338    , $0.0335    , -1%      , 69.08 k   

 52  , BQX               , 2       , 1      , $0.1009    , N/A        , N/A      , 537.71 k  

 53  , BRD               , 3       , 1      , $0.2255    , $0.2233    , -1%      , 578.18 k  

 54  , BSV               , 10      , 4      , $145.27    , $144.25    , -1%      , 9.49 m    

 55  , BTC               , 852     , 14     , $11,955.92 , $11,848.00 , -1%      , 9.88 b    

 56  , BTCB              , 1       , 1      , $11,954.73 , N/A        , N/A      , 8.61 k    

 57  , BTG               , 3       , 2      , $16.10     , $16.14     , 0%       , 691.39 k  

 58  , BTM               , 3       , 3      , $0.1080    , $0.1069    , -1%      , 104.70 k  

 59  , BTRN              , 3       , 1      , $0.0007    , N/A        , N/A      , 4.59      

 60  , BTS               , 6       , 4      , $0.0453    , $0.0449    , -1%      , 169.50 k  

 61  , BTT               , 12      , 4      , $0.0007    , $0.0202    , 96%      , 9.95 m    

 62  , BTU               , 2       , 2      , $0.3617    , N/A        , N/A      , 1.26 k    

 63  , BURST             , 2       , 2      , $0.0060    , $0.0060    , 0%       , 226.33 k  

 64  , BUT               , 1       , 1      , $0.0048    , N/A        , N/A      , 101.61 k  

 65  , CDT               , 2       , 1      , $0.0155    , $0.0154    , -1%      , 264.75 k  

 66  , CEL               , 2       , 1      , $0.0608    , N/A        , N/A      , 51.22 k   

 67  , CELR              , 3       , 1      , $0.0094    , $0.0093    , -2%      , 7.22 m    

 68  , CHAT              , 1       , 1      , $0.0044    , $0.0043    , -2%      , 109.89 k  

 69  , CHI               , 3       , 1      , $0.0308    , $0.0306    , -1%      , 32.21 k   

 70  , CLAM              , 1       , 1      , $3.47      , $3.43      , -1%      , 4.06 k    

 71  , CMCT              , 5       , 3      , $0.0008    , $0.0009    , 3%       , 4.24 k    

 72  , CMT               , 5       , 2      , $0.0332    , $0.0334    , 1%       , 1.06 m    

 73  , CND               , 3       , 1      , $0.0085    , $0.0084    , -1%      , 149.07 k  

 74  , CNN               , 1       , 1      , $0.0001    , $0.0001    , 1%       , 217.03 k  

 75  , COS               , 3       , 1      , $0.0349    , $0.0296    , -18%     , 48.52 m   

 76  , COSM              , 1       , 1      , $0.0159    , $0.0159    , 0%       , 1.26 m    

 77  , COT               , 1       , 1      , $0.0362    , $0.0000    , -113437% , 5.72 k    

 78  , COVA              , 1       , 1      , $0.0012    , $0.0012    , 1%       , 33.43 k   

 79  , CRE               , 1       , 1      , $0.0185    , $0.0186    , 0%       , 6.32 m    

 80  , CRO               , 3       , 3      , $0.0477    , $0.0468    , -2%      , 309.22 k  

 81  , CRPT              , 3       , 1      , $0.4117    , $0.3689    , -12%     , 314.32 k  

 82  , CRW               , 2       , 2      , $0.0772    , $0.0760    , -2%      , 5.59 k    

 83  , CTXC              , 4       , 3      , $0.1277    , N/A        , N/A      , 1.73 m    

 84  , CURE              , 1       , 1      , $0.0571    , $0.0566    , -1%      , 3.37 k    

 85  , CVC               , 13      , 6      , $0.0451    , $0.0504    , 11%      , 496.93 k  

 86  , CVCOIN            , 1       , 1      , $0.1239    , N/A        , N/A      , 50.87 k   

 87  , CVNT              , 1       , 1      , $0.0332    , $0.0329    , -1%      , 110.52 k  

 88  , Contents Protocol , 1       , 1      , $0.0039    , N/A        , N/A      , 186.60 k  

 89  , DACS              , 3       , 1      , $0.0032    , N/A        , N/A      , 0.65      

 90  , DAI               , 4       , 2      , $1.01      , $1.01      , 0%       , 1.29 m    

 91  , DASH              , 25      , 7      , $106.51    , $105.77    , -1%      , 4.82 m    

 92  , DAT               , 1       , 1      , $0.0014    , $0.0023    , 40%      , 83.72 k   

 93  , DATA              , 2       , 1      , $0.0116    , $0.0116    , 0%       , 117.58 k  

 94  , DCR               , 10      , 5      , $28.35     , $28.12     , -1%      , 1.32 m    

 95  , DCT               , 2       , 2      , $0.0374    , $0.1011    , 63%      , 19.27 k   

 96  , DENT              , 7       , 4      , $0.0006    , $0.0005    , -10%     , 1.56 m    

 97  , DGB               , 10      , 4      , $0.0099    , $0.0098    , -1%      , 1.26 m    

 98  , DGD               , 4       , 3      , $23.80     , $23.66     , -1%      , 500.84 k  

 99  , DLT               , 3       , 1      , $0.0540    , $0.0535    , -1%      , 163.57 k  

 100 , DMT               , 5       , 2      , $0.1253    , $0.1232    , -2%      , 148.22 k  

 101 , DNT               , 5       , 4      , $0.0080    , $0.0079    , -1%      , 109.62 k  

 102 , DOCK              , 3       , 2      , $0.0062    , $0.0067    , 7%       , 630.52 k  

 103 , DOGE              , 15      , 6      , $0.0029    , $0.0030    , 1%       , 2.24 m    

 104 , DRG               , 3       , 1      , $0.1318    , N/A        , N/A      , 34.47 k   

 105 , DRGN              , 2       , 2      , $0.0731    , $0.0755    , 3%       , 10.28 k   

 106 , DTA               , 5       , 3      , $0.0008    , $0.0008    , -1%      , 177.09 k  

 107 , DUSK              , 5       , 1      , $0.1561    , $0.1563    , 0%       , 17.54 m   

 108 , EDG               , 2       , 2      , $0.0574    , $0.0567    , -1%      , 21.19 k   

 109 , EDO               , 2       , 1      , $0.5608    , $0.5557    , -1%      , 745.53 k  

 110 , EDR               , 4       , 2      , $0.0102    , $0.0103    , 0%       , 56.62 k   

 111 , EDU               , 1       , 1      , $0.0002    , $0.0002    , 0%       , 22.80 k   

 112 , EGCC              , 1       , 1      , $0.0005    , N/A        , N/A      , 55.62 k   

 113 , EGT               , 1       , 1      , $0.0417    , $0.0417    , 0%       , 1.14 m    

 114 , EKO               , 1       , 1      , $0.0029    , $0.0027    , -5%      , 39.63 k   

 115 , EKT               , 1       , 1      , $0.1472    , N/A        , N/A      , 3.34 m    

 116 , ELA               , 2       , 1      , $3.19      , $3.15      , -1%      , 90.77 k   

 117 , ELF               , 6       , 4      , $0.0973    , $0.0977    , 0%       , 1.14 m    

 118 , EMC2              , 3       , 2      , $0.0611    , $0.0610    , 0%       , 242.89 k  

 119 , ENG               , 7       , 4      , $0.4546    , $0.4503    , -1%      , 315.82 k  

 120 , ENJ               , 10      , 4      , $0.0690    , $0.0683    , -1%      , 1.63 m    

 121 , EOS               , 23      , 7      , $4.21      , $4.18      , -1%      , 87.50 m   

 122 , ERD               , 5       , 1      , $0.0028    , $0.0027    , -1%      , 10.55 m   

 123 , ETC               , 32      , 8      , $6.11      , $6.07      , -1%      , 6.56 m    

 124 , ETH               , 439     , 14     , $226.08    , $224.83    , -1%      , 488.59 m  

 125 , ETN               , 5       , 2      , $0.0047    , $0.0047    , 0%       , 79.54 k   

 126 , EVX               , 3       , 2      , $0.4877    , $0.4818    , -1%      , 572.02 k  

 127 , EXCL              , 2       , 2      , $0.0849    , $0.0842    , -1%      , 11.07 k   

 128 , EXP               , 2       , 2      , $0.0562    , $0.0618    , 9%       , 20.67 k   

 129 , FAIR              , 1       , 1      , $0.0054    , $0.0054    , 1%       , 54.19 k   

 130 , FCT               , 5       , 4      , $3.87      , $3.83      , -1%      , 314.39 k  

 131 , FET               , 3       , 1      , $0.0797    , $0.0790    , -1%      , 4.59 m    

 132 , FLDC              , 1       , 1      , $0.0005    , N/A        , N/A      , 303.47    

 133 , FLIXX             , 3       , 1      , $0.0129    , $0.0126    , -2%      , 3.83 k    

 134 , FLO               , 1       , 1      , $0.0619    , $0.0615    , -1%      , 15.33 k   

 135 , FOAM              , 2       , 1      , $0.0454    , $0.0460    , 1%       , 6.73 k    

 136 , FSN               , 7       , 4      , $0.9510    , $0.9423    , -1%      , 1.12 m    

 137 , FTC               , 2       , 2      , $0.0137    , $0.0156    , 12%      , 9.62 k    

 138 , FTM               , 6       , 1      , $0.0203    , $0.0201    , -1%      , 3.31 m    

 139 , FTT               , 5       , 2      , $2.56      , $0.0015    , -172852% , 19.34 m   

 140 , FUEL              , 2       , 1      , $0.0032    , $0.0032    , -1%      , 1.97 m    

 141 , FUN               , 3       , 2      , $0.0026    , $0.0026    , -1%      , 61.01 k   

 142 , GAME              , 3       , 3      , $0.0568    , $0.0566    , 0%       , 18.21 k   

 143 , GAS               , 4       , 3      , $1.95      , $1.94      , -1%      , 219.48 k  

 144 , GAT               , 3       , 1      , $0.0066    , $0.0014    , -357%    , 789.09    

 145 , GBYTE             , 2       , 2      , $27.87     , $29.10     , 4%       , 16.55 k   

 146 , GEN               , 3       , 1      , $0.0678    , $0.0701    , 3%       , 7.51 k    

 147 , GEO               , 1       , 1      , $0.2404    , N/A        , N/A      , 242.87    

 148 , GET               , 4       , 2      , $0.0105    , $0.0104    , -1%      , 162.94 k  

 149 , GLC               , 1       , 1      , $0.0721    , N/A        , N/A      , 6.98 k    

 150 , GNO               , 8       , 3      , $18.06     , $17.98     , 0%       , 39.13 k   

 151 , GNT               , 17      , 7      , $0.0570    , $0.0566    , -1%      , 491.93 k  

 152 , GNX               , 2       , 1      , $0.0221    , $0.0225    , 2%       , 116.03 k  

 153 , GO                , 4       , 3      , $0.0116    , $0.0112    , -3%      , 185.76 k  

 154 , GRIN              , 5       , 2      , $3.08      , $3.02      , -2%      , 103.63 k  

 155 , GRS               , 6       , 4      , $0.2579    , $0.2545    , -1%      , 639.50 k  

 156 , GSC               , 1       , 1      , $0.0084    , N/A        , N/A      , 16.88 k   

 157 , GT                , 2       , 1      , $0.9189    , N/A        , N/A      , 92.82 k   

 158 , GTC               , 1       , 1      , $0.0068    , N/A        , N/A      , 30.02 k   

 159 , GTO               , 10      , 3      , $0.0158    , $0.0198    , 20%      , 222.64 k  

 160 , GUP               , 2       , 2      , $0.0098    , $0.0098    , 0%       , 4.83 k    

 161 , GVE               , 1       , 1      , $0.0005    , N/A        , N/A      , 11.56 k   

 162 , GVT               , 2       , 1      , $1.46      , $1.45      , -1%      , 254.68 k  

 163 , GXC               , 1       , 1      , $1.65      , N/A        , N/A      , 561.41 k  

 164 , GXS               , 2       , 1      , $1.65      , $1.63      , -1%      , 362.30 k  

 165 , GZE               , 3       , 1      , $0.0066    , N/A        , N/A      , 18.96     

 166 , HC                , 4       , 2      , $2.26      , $0.0025    , -90335%  , 2.66 m    

 167 , HIT               , 1       , 1      , $0.0001    , $0.0001    , 0%       , 115.95 k  

 168 , HMQ               , 2       , 2      , $0.0078    , $0.0080    , 2%       , 10.79 k   

 169 , HOT               , 4       , 1      , $0.0009    , $0.0080    , 88%      , 2.02 m    

 170 , HPT               , 1       , 1      , $0.0126    , N/A        , N/A      , 588.07 k  

 171 , HST               , 2       , 2      , $0.0331    , $0.0343    , 3%       , 7.27 k    

 172 , HT                , 11      , 1      , $5.12      , $5.07      , -1%      , 44.07 m   

 173 , HUSD              , 2       , 1      , $1.01      , N/A        , N/A      , 6.83 m    

 174 , HXRO              , 1       , 1      , $0.0436    , N/A        , N/A      , 3.65 k    

 175 , HYDRO             , 2       , 2      , $0.0007    , $0.0008    , 5%       , 33.56 k   

 176 , ICX               , 5       , 2      , $0.2204    , $0.2190    , -1%      , 4.00 m    

 177 , IDT               , 1       , 1      , $0.0238    , N/A        , N/A      , 794.46 k  

 178 , IGNIS             , 3       , 2      , $0.0354    , $0.0347    , -2%      , 346.54 k  

 179 , IHF               , 2       , 1      , $0.0632    , N/A        , N/A      , 6.88 k    

 180 , IHT               , 2       , 2      , $0.0061    , $0.0061    , 0%       , 57.81 k   

 181 , INCNT             , 1       , 1      , $0.3056    , N/A        , N/A      , 3.57 k    

 182 , INS               , 2       , 1      , $0.2367    , $0.2355    , -1%      , 322.38 k  

 183 , IOC               , 1       , 1      , $0.0945    , $0.0935    , -1%      , 1.88 k    

 184 , ION               , 2       , 2      , $0.0662    , $0.0656    , -1%      , 3.32 k    

 185 , IOP               , 2       , 2      , $0.0319    , N/A        , N/A      , 5.69 k    

 186 , IOST              , 9       , 4      , $0.0107    , $0.0105    , -2%      , 15.98 m   

 187 , IOTA              , 6       , 3      , $0.2751    , N/A        , N/A      , 2.09 m    

 188 , IOTX              , 4       , 3      , $0.0057    , $0.0056    , -2%      , 252.37 k  

 189 , IPSX              , 3       , 1      , $0.0002    , $0.0002    , -3%      , 333.13    

 190 , IQ                , 1       , 1      , $0.0027    , $0.0107    , 75%      , 63.15 k   

 191 , IRIS              , 1       , 1      , $0.0332    , $0.0329    , -1%      , 24.12 k   

 192 , ITC               , 2       , 1      , $0.2170    , $0.2150    , -1%      , 847.24 k  

 193 , JNT               , 2       , 2      , $0.0262    , $0.0257    , -2%      , 1.06 k    

 194 , KAN               , 1       , 1      , $0.0044    , $0.0043    , -1%      , 32.48 k   

 195 , KCASH             , 1       , 1      , $0.0132    , N/A        , N/A      , 72.13 k   

 196 , KEY               , 2       , 1      , $0.0018    , N/A        , N/A      , 155.23 k  

 197 , KMD               , 7       , 4      , $0.8493    , $0.8428    , -1%      , 1.18 m    

 198 , KNC               , 7       , 4      , $0.1693    , $0.1881    , 10%      , 386.97 k  

 199 , KRL               , 3       , 1      , $0.0714    , $0.0706    , -1%      , 27.87 k   

 200 , LAMB              , 1       , 1      , $0.1948    , $0.1937    , -1%      , 191.06 k  

 201 , LBA               , 4       , 3      , $0.0234    , $0.0232    , -1%      , 145.90 k  

 202 , LBC               , 3       , 3      , $0.0155    , $0.0154    , -1%      , 10.48 k   

 203 , LEND              , 2       , 1      , $0.0038    , $0.0038    , 0%       , 108.78 k  

 204 , LET               , 1       , 1      , $0.0059    , $0.0058    , -1%      , 76.06 k   

 205 , LIKE              , 3       , 1      , $0.0038    , $0.0038    , -1%      , 188.29    

 206 , LINK              , 9       , 3      , $2.33      , $2.31      , -1%      , 31.28 m   

 207 , LND               , 2       , 1      , $0.0070    , $0.0070    , 0%       , 5.63 k    

 208 , LOOM              , 11      , 6      , $0.0331    , $0.0334    , 1%       , 332.15 k  

 209 , LPT               , 1       , 1      , $7.08      , N/A        , N/A      , 55.75 k   

 210 , LRC               , 4       , 3      , $0.0381    , $0.0377    , -1%      , 351.46 k  

 211 , LSK               , 10      , 5      , $1.29      , $1.27      , -2%      , 494.14 k  

 212 , LTC               , 38      , 10     , $90.17     , $89.78     , 0%       , 110.06 m  

